label,name
6506e28381f75fd724a743b3,grains and nuts
6506e28381f75fd724a743b9,legumes
6506e28381f75fd724a743bb,"fruits, vegetables & herbs"
6506e28381f75fd724a743bd,dairy & animal based
6506e28381f75fd724a743bf,meat & seafood
6506e28481f75fd724a743c3,sauce
6506e28481f75fd724a743c5,tea or coffee
6506e28481f75fd724a743c7,oils
6506e28481f75fd724a743c9,processed foods & beverages
6506e28481f75fd724a743cb,tobacco and alcohol
